date,photon_density
2019-08-24 00:00:13,7.2809
2019-08-24 00:01:17,7.1843
2019-08-24 00:02:21, 7.506
2019-08-24 00:03:25,7.5231
2019-08-24 00:04:29,7.7283
2019-08-24 00:05:33,7.2646
2019-08-24 00:06:37,7.8385
2019-08-24 00:07:41,7.5146
2019-08-24 00:08:45,7.7062
2019-08-24 00:09:49,7.5022
2019-08-24 00:10:53,8.5003
2019-08-24 00:11:57,7.5314
2019-08-24 00:13:01,8.2575
2019-08-24 00:14:05,6.5517
2019-08-24 00:15:09,6.6067
2019-08-24 00:16:13,6.5914
2019-08-24 00:17:17,6.6569
2019-08-24 00:18:21,7.3491
2019-08-24 00:19:25,7.7621
2019-08-24 00:20:29,7.3998
2019-08-24 00:21:33,7.5006
2019-08-24 00:22:37,   NaN
2019-08-24 00:23:41, 7.705
2019-08-24 00:24:45,7.6098
2019-08-24 00:25:49,8.3569
2019-08-24 00:26:53,7.2427
2019-08-24 00:27:57,6.9949
2019-08-24 00:29:01,7.7138
2019-08-24 00:30:05,7.1823
2019-08-24 00:31:09,7.4394
2019-08-24 00:32:13,7.3064
2019-08-24 00:33:17,7.3755
2019-08-24 00:34:21,7.1951
2019-08-24 00:35:25,7.4961
2019-08-24 00:36:29,7.2919
2019-08-24 00:37:33,7.7664
2019-08-24 00:38:37,7.3735
2019-08-24 00:39:41,7.4706
2019-08-24 00:40:45,7.0162
2019-08-24 00:41:49,6.9854
2019-08-24 00:42:53, 6.977
2019-08-24 00:43:57,6.8089
2019-08-24 00:45:01, 6.755
2019-08-24 00:46:05,6.8366
2019-08-24 00:47:09,6.6153
2019-08-24 00:48:13,6.2374
2019-08-24 00:49:17, 6.816
2019-08-24 00:50:21,7.0223
2019-08-24 00:51:25, 6.765
2019-08-24 00:52:29,6.7079
2019-08-24 00:53:33, 6.859
2019-08-24 00:54:37,6.8981
2019-08-24 00:55:41,   NaN
2019-08-24 00:56:45,6.5578
2019-08-24 00:57:49,6.1671
2019-08-24 00:58:53,6.9137
2019-08-24 00:59:57,6.6775
2019-08-24 01:01:01,6.5722
2019-08-24 01:02:05,6.9126
2019-08-24 01:03:09,6.7838
2019-08-24 01:04:13,7.0948
2019-08-24 01:05:17,7.0625
2019-08-24 01:06:21,7.1467
2019-08-24 01:07:25,7.0503
2019-08-24 01:08:29,7.8001
2019-08-24 01:09:33, 7.342
2019-08-24 01:10:37,7.5289
2019-08-24 01:11:41, 7.315
2019-08-24 01:12:45,6.9808
2019-08-24 01:13:49,6.7553
2019-08-24 01:14:53,6.9079
2019-08-24 01:15:57,6.7326
2019-08-24 01:17:01,6.6473
2019-08-24 01:18:05,   NaN
2019-08-24 01:19:09,5.9996
2019-08-24 01:20:13,6.1447
2019-08-24 01:21:17,6.3633
2019-08-24 01:22:21,6.2603
2019-08-24 01:23:25,6.0395
2019-08-24 01:24:29,5.8807
2019-08-24 01:25:33,6.0747
2019-08-24 01:26:37,6.3163
2019-08-24 01:27:41,6.1302
2019-08-24 01:28:45,   NaN
2019-08-24 01:29:49, 6.306
2019-08-24 01:30:53,6.3343
2019-08-24 01:31:57, 6.045
2019-08-24 01:33:01,6.2694
2019-08-24 01:34:05,6.4577
2019-08-24 01:35:09,6.3884
2019-08-24 01:36:13, 6.109
2019-08-24 01:37:17,6.0197
2019-08-24 01:38:21, 5.942
2019-08-24 01:39:25,6.0578
2019-08-24 01:40:29,6.1358
2019-08-24 01:41:33,5.9297
2019-08-24 01:42:37,6.0602
2019-08-24 01:43:41,6.0523
2019-08-24 01:44:45,6.1536
2019-08-24 01:45:49,5.9098
2019-08-24 01:46:53,6.3675
2019-08-24 01:47:57,5.9913
2019-08-24 01:49:01, 6.301
2019-08-24 01:50:05,6.1215
2019-08-24 01:51:09,5.9822
2019-08-24 01:52:13,6.1842
2019-08-24 01:53:17,6.1787
2019-08-24 01:54:21,6.1726
2019-08-24 01:55:25,6.2169
2019-08-24 01:56:29,6.2126
2019-08-24 01:57:33,5.9351
2019-08-24 01:58:37,5.9085
2019-08-24 01:59:41,6.0359
2019-08-24 02:00:45,6.3943
2019-08-24 02:01:49,   NaN
2019-08-24 02:02:53,6.3532
2019-08-24 02:03:57,6.0417
2019-08-24 02:05:01,6.1576
2019-08-24 02:06:05,6.2418
2019-08-24 02:07:09, 6.492
2019-08-24 02:08:13,6.0024
2019-08-24 02:09:17,6.4198
2019-08-24 02:10:21,6.0668
2019-08-24 02:11:25, 6.105
2019-08-24 02:12:29,6.0762
2019-08-24 02:13:33,6.3543
2019-08-24 02:14:37,6.3014
2019-08-24 02:15:41,6.3704
2019-08-24 02:16:45,6.3121
2019-08-24 02:17:49,6.1008
2019-08-24 02:18:53,6.1115
2019-08-24 02:19:57,6.1655
2019-08-24 02:21:01,6.2459
2019-08-24 02:22:05, 6.432
2019-08-24 02:23:09, 6.513
2019-08-24 02:24:13,  6.58
2019-08-24 02:25:17,6.1751
2019-08-24 02:26:21,6.3554
2019-08-24 02:27:25,6.3487
2019-08-24 02:28:29,6.2791
2019-08-24 02:29:33,6.6918
2019-08-24 02:30:37,6.6728
2019-08-24 02:31:41,6.4781
2019-08-24 02:32:45, 6.312
2019-08-24 02:33:49,6.6735
2019-08-24 02:34:53,   NaN
2019-08-24 02:35:57,6.3062
2019-08-24 02:37:01,6.1809
2019-08-24 02:38:05,6.4506
2019-08-24 02:39:09,6.5974
2019-08-24 02:40:13,6.3056
2019-08-24 02:41:17,6.8072
2019-08-24 02:42:21,6.5989
2019-08-24 02:43:25,6.8101
2019-08-24 02:44:29,6.4367
2019-08-24 02:45:33,6.1172
2019-08-24 02:46:37,6.6002
2019-08-24 02:47:41,6.8273
2019-08-24 02:48:45,6.3833
2019-08-24 02:49:49,6.8295
2019-08-24 02:50:53,6.6296
2019-08-24 02:51:57,6.6545
2019-08-24 02:53:01,7.1502
2019-08-24 02:54:05,6.8447
2019-08-24 02:55:09,6.4758
2019-08-24 02:56:13, 6.928
2019-08-24 02:57:17,6.7802
2019-08-24 02:58:21,6.3773
2019-08-24 02:59:25,6.3081
2019-08-24 03:00:29,6.4371
2019-08-24 03:01:33,6.6671
2019-08-24 03:02:37,6.8957
2019-08-24 03:03:41,6.6809
2019-08-24 03:04:45,7.1129
2019-08-24 03:05:49,6.9745
2019-08-24 03:06:53,6.9039
2019-08-24 03:07:57,   NaN
2019-08-24 03:09:01,6.5153
2019-08-24 03:10:05,6.9037
2019-08-24 03:11:09,7.1921
2019-08-24 03:12:13,7.1071
2019-08-24 03:13:17,6.5185
2019-08-24 03:14:21,7.0739
2019-08-24 03:15:25,6.5191
2019-08-24 03:16:29,6.8232
2019-08-24 03:17:33,6.8232
2019-08-24 03:18:37,6.7727
2019-08-24 03:19:41,6.7473
2019-08-24 03:20:45,6.9466
2019-08-24 03:21:49,6.4877
2019-08-24 03:22:53, 7.004
2019-08-24 03:23:57,6.9489
2019-08-24 03:25:01,6.6838
2019-08-24 03:26:05,6.8212
2019-08-24 03:27:09,6.5565
2019-08-24 03:28:13,7.1479
2019-08-24 03:29:17,7.2105
2019-08-24 03:30:21,6.9758
2019-08-24 03:31:25,6.6742
2019-08-24 03:32:29,6.5579
2019-08-24 03:33:33,6.8043
2019-08-24 03:34:37,6.2154
2019-08-24 03:35:41,6.5648
2019-08-24 03:36:45,6.5719
2019-08-24 03:37:49,6.6819
2019-08-24 03:38:53,6.6999
2019-08-24 03:39:57,6.8962
2019-08-24 03:41:01,   NaN
2019-08-24 03:42:05,6.9378
2019-08-24 03:43:09,6.7818
2019-08-24 03:44:13,6.8177
2019-08-24 03:45:17,6.6333
2019-08-24 03:46:21,6.6981
2019-08-24 03:47:25,6.9409
2019-08-24 03:48:29,6.6951
2019-08-24 03:49:33,7.1837
2019-08-24 03:50:37,6.9265
2019-08-24 03:51:41,7.0915
2019-08-24 03:52:45,6.6946
2019-08-24 03:53:49,6.9687
2019-08-24 03:54:53,6.9617
2019-08-24 03:55:57,7.0091
2019-08-24 03:57:01,7.2022
2019-08-24 03:58:05,7.0589
2019-08-24 03:59:09,8.1078
2019-08-24 04:00:13,8.2898
2019-08-24 04:01:17,7.9876
2019-08-24 04:02:21,8.2564
2019-08-24 04:03:25,8.1934
2019-08-24 04:04:29,8.2145
2019-08-24 04:05:33,8.2824
2019-08-24 04:06:37,7.7983
2019-08-24 04:07:41, 8.132
2019-08-24 04:08:45,7.9647
2019-08-24 04:09:49,8.2142
2019-08-24 04:10:53,7.6185
2019-08-24 04:11:57,7.3155
2019-08-24 04:13:01,7.9054
2019-08-24 04:14:05,   NaN
2019-08-24 04:15:09,7.4198
2019-08-24 04:16:13,7.5844
2019-08-24 04:17:17,7.4139
2019-08-24 04:18:21,7.4681
2019-08-24 04:19:25,7.4232
2019-08-24 04:20:29,7.6121
2019-08-24 04:21:33,7.3587
2019-08-24 04:22:37,7.0441
2019-08-24 04:23:41,6.5269
2019-08-24 04:24:45,7.1173
2019-08-24 04:25:49,7.1615
2019-08-24 04:26:53, 7.647
2019-08-24 04:27:57,6.9779
2019-08-24 04:29:01,7.2665
2019-08-24 04:30:05,7.3862
2019-08-24 04:31:09,7.0562
2019-08-24 04:32:13,7.2032
2019-08-24 04:33:17,7.8617
2019-08-24 04:34:21,7.8026
2019-08-24 04:35:25,7.4643
2019-08-24 04:36:29,7.8068
2019-08-24 04:37:33,7.8624
2019-08-24 04:38:37,7.5971
2019-08-24 04:39:41,7.1366
2019-08-24 04:40:45,7.3318
2019-08-24 04:41:49,7.4122
2019-08-24 04:42:53,7.7712
2019-08-24 04:43:57,7.2849
2019-08-24 04:45:01,  7.29
2019-08-24 04:46:05,7.4457
2019-08-24 04:47:09,   NaN
2019-08-24 04:48:13,7.3142
2019-08-24 04:49:17,7.2531
2019-08-24 04:50:21,7.3507
2019-08-24 04:51:25,7.9226
2019-08-24 04:52:29,7.5882
2019-08-24 04:53:33,7.3759
2019-08-24 04:54:37,7.7343
