date,photon_density
2019-08-24 00:01:09,   NaN
2019-08-24 00:04:18,7.2579
2019-08-24 00:05:58,7.1317
2019-08-24 00:07:37,7.2792
2019-08-24 00:09:16,5.9209
2019-08-24 00:10:49, 7.194
2019-08-24 00:12:33,6.9278
2019-08-24 00:14:13,7.0242
2019-08-24 00:15:52,7.0815
2019-08-24 00:17:22,6.9897
2019-08-24 00:19:05,6.8689
2019-08-24 00:20:47,7.5814
2019-08-24 00:22:26,6.8792
2019-08-24 00:24:05,7.2817
2019-08-24 00:25:44,7.1143
2019-08-24 00:27:17,  6.79
2019-08-24 00:29:00,6.8642
2019-08-24 00:30:39,7.1433
2019-08-24 00:32:18,7.0603
2019-08-24 00:33:49,7.1157
2019-08-24 00:35:33,7.2443
2019-08-24 00:37:08,7.0514
2019-08-24 00:38:53, 7.045
2019-08-24 00:40:34,6.8618
2019-08-24 00:42:11,6.6209
2019-08-24 00:43:52,6.4227
2019-08-24 00:45:31,6.3136
2019-08-24 00:47:10,7.0268
2019-08-24 00:48:50,6.6942
2019-08-24 00:50:22,7.3184
2019-08-24 00:52:05,6.7584
2019-08-24 00:53:47,6.8644
2019-08-24 00:55:26,6.9621
2019-08-24 00:57:05,6.7433
2019-08-24 00:58:45,6.7876
2019-08-24 01:00:24,6.4199
2019-08-24 01:02:03,6.6295
2019-08-24 01:03:42, 6.846
2019-08-24 01:05:19,6.6701
2019-08-24 01:06:50,6.7957
2019-08-24 01:08:34,6.6722
2019-08-24 01:10:16,6.4196
2019-08-24 01:11:56,6.2495
2019-08-24 01:13:29,6.3058
2019-08-24 01:15:14,6.3926
2019-08-24 01:16:53,6.3757
2019-08-24 01:18:26,6.8636
2019-08-24 01:20:11,6.6272
2019-08-24 01:21:47,6.8459
2019-08-24 01:23:19,6.6208
2019-08-24 01:25:02,6.3199
2019-08-24 01:26:44,7.0465
2019-08-24 01:28:17,6.6574
2019-08-24 01:30:03,6.3747
2019-08-24 01:31:42,6.7024
2019-08-24 01:33:18,6.8945
2019-08-24 01:34:57,6.5204
2019-08-24 01:36:30,6.3396
2019-08-24 01:38:09,6.0376
2019-08-24 01:39:47,5.8806
2019-08-24 01:41:33,6.0388
2019-08-24 01:43:16,5.9877
2019-08-24 01:44:55,6.0626
2019-08-24 01:46:34,6.0592
2019-08-24 01:48:13,6.1702
2019-08-24 01:49:52,6.3269
2019-08-24 01:51:33,6.6427
2019-08-24 01:53:11,6.1593
2019-08-24 01:54:50,6.1639
2019-08-24 01:56:21,6.1296
2019-08-24 01:58:05,6.2093
2019-08-24 01:59:47,6.2147
2019-08-24 02:01:30,6.2298
2019-08-24 02:03:09,6.0757
2019-08-24 02:04:48,5.9457
2019-08-24 02:06:27,6.4581
2019-08-24 02:08:06,6.2325
2019-08-24 02:09:45,6.1796
2019-08-24 02:11:25,6.6536
2019-08-24 02:12:56,6.0029
2019-08-24 02:14:40,6.5232
2019-08-24 02:16:22,6.1618
2019-08-24 02:18:01,6.2131
2019-08-24 02:19:40, 6.476
2019-08-24 02:21:23,6.5392
2019-08-24 02:23:02,6.5705
2019-08-24 02:24:41, 6.575
2019-08-24 02:26:20,6.1982
2019-08-24 02:27:59, 6.162
2019-08-24 02:29:32,6.3153
2019-08-24 02:31:15,6.3363
2019-08-24 02:32:57,6.8526
2019-08-24 02:34:36,  6.35
2019-08-24 02:36:15,6.5201
2019-08-24 02:37:54,6.5176
2019-08-24 02:39:33,6.6721
2019-08-24 02:41:13,6.9438
2019-08-24 02:42:52,7.1824
2019-08-24 02:44:28,7.0479
2019-08-24 02:46:02,6.7311
2019-08-24 02:47:46,6.9207
2019-08-24 02:49:25,6.8004
2019-08-24 02:51:01,6.7824
2019-08-24 02:52:44,6.9574
2019-08-24 02:54:23,6.7699
2019-08-24 02:56:02,6.7356
2019-08-24 02:57:41,6.9406
2019-08-24 02:59:20,6.8975
2019-08-24 03:00:56,6.9877
2019-08-24 03:02:28,6.8469
2019-08-24 03:04:12,6.7297
2019-08-24 03:05:54,6.7374
2019-08-24 03:07:31,6.6646
2019-08-24 03:09:09,7.3053
2019-08-24 03:10:51,6.8225
2019-08-24 03:12:29,6.6041
2019-08-24 03:14:08, 6.993
2019-08-24 03:15:44, 6.884
2019-08-24 03:17:25,7.1158
2019-08-24 03:18:56,6.9418
2019-08-24 03:20:37,7.1114
2019-08-24 03:22:21,6.6436
2019-08-24 03:23:58,7.2761
2019-08-24 03:25:38,7.3585
2019-08-24 03:27:17,7.5122
2019-08-24 03:28:56,7.4946
2019-08-24 03:30:38,7.0959
2019-08-24 03:32:16,6.9595
2019-08-24 03:33:57,6.8055
2019-08-24 03:35:28,7.0712
2019-08-24 03:37:12,7.1727
2019-08-24 03:38:53,  6.98
2019-08-24 03:40:33,7.2006
2019-08-24 03:42:12, 7.304
2019-08-24 03:43:50,7.2599
2019-08-24 03:45:31,7.3468
2019-08-24 03:47:10, 7.342
2019-08-24 03:48:49,7.1549
2019-08-24 03:50:28,7.0477
2019-08-24 03:52:00,   7.3
2019-08-24 03:53:40,7.5497
2019-08-24 03:55:23,7.4868
2019-08-24 03:57:02,7.5307
2019-08-24 03:58:41,7.4594
2019-08-24 04:00:20,7.3199
2019-08-24 04:01:58,7.0681
2019-08-24 04:03:36,7.3072
2019-08-24 04:05:14,7.0714
2019-08-24 04:06:54,7.0931
2019-08-24 04:08:25,7.1414
2019-08-24 04:10:09, 7.296
2019-08-24 04:11:51,6.8722
2019-08-24 04:13:30,6.9265
2019-08-24 04:15:09,  7.27
2019-08-24 04:16:49,7.5359
2019-08-24 04:18:28,7.2332
2019-08-24 04:20:07, 7.094
2019-08-24 04:21:43,7.2453
2019-08-24 04:23:22, 7.185
2019-08-24 04:26:37,7.5912
2019-08-24 04:28:13,7.0441
2019-08-24 04:29:53, 7.332
2019-08-24 04:31:32,7.3629
2019-08-24 04:33:17,7.1329
2019-08-24 04:34:56,8.0342
2019-08-24 04:36:35,6.7644
2019-08-24 04:38:08,6.9956
2019-08-24 04:39:54,7.1063
2019-08-24 04:41:25,7.6543
2019-08-24 04:43:09,7.0501
2019-08-24 04:44:45,6.8462
2019-08-24 04:46:30,7.0509
2019-08-24 04:48:03,7.0561
2019-08-24 04:49:49,7.4486
2019-08-24 04:51:19,8.5812
2019-08-24 04:53:04,9.0066
2019-08-24 04:54:45,7.3704
2019-08-24 04:56:24,6.7926
2019-08-24 04:57:54,7.2383
2019-08-24 04:59:32,8.2524
2019-08-24 05:01:17, 7.679
2019-08-24 05:02:56,8.0332
2019-08-24 05:04:37,6.9408
2019-08-24 05:06:16,7.3597
2019-08-24 05:07:55,7.6844
2019-08-24 05:09:33,7.5351
2019-08-24 05:11:15,7.2584
2019-08-24 05:12:51,8.2317
2019-08-24 05:14:25,7.3231
2019-08-24 05:16:08,7.1506
2019-08-24 05:17:48,7.9765
2019-08-24 05:19:29,7.1769
2019-08-24 05:21:07,7.5297
2019-08-24 05:22:47,6.8888
2019-08-24 05:24:27,6.9527
2019-08-24 05:26:06, 7.483
2019-08-24 05:27:45,7.5557
2019-08-24 05:29:26,7.0696
2019-08-24 05:30:57,7.3874
2019-08-24 05:32:39,6.9026
2019-08-24 05:34:22,7.0336
2019-08-24 05:36:02,7.3025
2019-08-24 05:37:41,7.7653
2019-08-24 05:39:22, 7.031
2019-08-24 05:41:01, 6.791
2019-08-24 05:42:40,6.9351
2019-08-24 05:44:21,7.3466
2019-08-24 05:46:00,6.8613
2019-08-24 05:47:32,7.6305
2019-08-24 05:49:12,7.5983
2019-08-24 05:50:56,7.2126
2019-08-24 05:52:37,7.0369
2019-08-24 05:54:16, 6.611
2019-08-24 05:55:55,7.0495
2019-08-24 05:57:38,7.1678
2019-08-24 05:59:15,6.4678
2019-08-24 06:00:56,6.9337
2019-08-24 06:02:35,6.5973
2019-08-24 06:04:07,6.8239
2019-08-24 06:05:50, 6.555
2019-08-24 06:07:31,6.8868
2019-08-24 06:09:10,6.9184
2019-08-24 06:10:49, 7.008
2019-08-24 06:12:30,7.0971
2019-08-24 06:14:08,6.4721
2019-08-24 06:15:45,7.5073
2019-08-24 06:17:31,6.8931
2019-08-24 06:19:10,7.2492
2019-08-24 06:20:41,6.7498
2019-08-24 06:22:25,6.5932
2019-08-24 06:24:07, 6.594
2019-08-24 06:25:46,6.9638
2019-08-24 06:27:23, 7.139
2019-08-24 06:29:02,7.9752
2019-08-24 06:30:42,7.0632
2019-08-24 06:32:22,6.8373
2019-08-24 06:34:01,6.9467
2019-08-24 06:35:38,7.1347
2019-08-24 06:37:13,7.7032
2019-08-24 06:39:01,7.8421
2019-08-24 06:40:36,7.0891
2019-08-24 06:42:15,7.3221
2019-08-24 06:43:54,7.3605
2019-08-24 06:45:30,7.3626
2019-08-24 06:47:09,7.7307
2019-08-24 06:48:49,7.1444
2019-08-24 06:50:29,6.9722
2019-08-24 06:52:07,6.9685
2019-08-24 06:53:41,7.6039
2019-08-24 06:55:28,6.9136
2019-08-24 06:57:01, 6.913
2019-08-24 06:58:40, 6.785
2019-08-24 07:00:20,7.0506
2019-08-24 07:01:59,6.7875
2019-08-24 07:03:38,6.8324
2019-08-24 07:05:17,6.8144
2019-08-24 07:06:56,6.7628
2019-08-24 07:08:35,6.8421
2019-08-24 07:10:10,7.6259
2019-08-24 07:11:57, 6.993
2019-08-24 07:13:30,6.9232
2019-08-24 07:15:09,6.9499
2019-08-24 07:16:48,6.9212
2019-08-24 07:18:27,6.9697
2019-08-24 07:20:06,7.2634
2019-08-24 07:21:47,7.1861
2019-08-24 07:23:25,6.9681
2019-08-24 07:25:06,6.7175
2019-08-24 07:26:38,7.5076
2019-08-24 07:28:21,7.1412
2019-08-24 07:30:03,7.0634
2019-08-24 07:31:42,7.1466
2019-08-24 07:33:21,7.2872
2019-08-24 07:35:01,7.4222
2019-08-24 07:36:40,7.4793
2019-08-24 07:38:19, 7.186
2019-08-24 07:39:58,7.0946
2019-08-24 07:41:37,7.1925
2019-08-24 07:43:10,6.8401
2019-08-24 07:44:59,6.5615
2019-08-24 07:46:35,6.1515
2019-08-24 07:48:14,6.3366
2019-08-24 07:49:48, 6.791
2019-08-24 07:51:29,6.7525
2019-08-24 07:53:08,6.7615
2019-08-24 07:54:47,6.4206
2019-08-24 07:56:27,5.6946
2019-08-24 07:58:06,6.6389
2019-08-24 07:59:39,6.8901
2019-08-24 08:01:19,6.6179
2019-08-24 08:03:02,6.8869
2019-08-24 08:04:39,6.6655
2019-08-24 08:06:20,6.6547
2019-08-24 08:07:59,6.5726
2019-08-24 08:09:37,6.6016
2019-08-24 08:11:17,6.4034
2019-08-24 08:12:55,6.5735
2019-08-24 08:14:34,6.4813
2019-08-24 08:16:07,6.7921
2019-08-24 08:17:48,7.1371
2019-08-24 08:19:29,6.7309
2019-08-24 08:21:06, 7.008
2019-08-24 08:22:47,6.6269
2019-08-24 08:24:26,6.6342
2019-08-24 08:26:07,6.6978
2019-08-24 08:27:44,6.0904
